Ajatempel (UTC);Kuupäev (Eesti aeg);NPS Eesti
1713942000;24.04.2024 10:00;112,85
1713945600;24.04.2024 11:00;101,88
1713949200;24.04.2024 12:00;101,54
1713952800;24.04.2024 13:00;104,75
1713956400;24.04.2024 14:00;104,76
1713960000;24.04.2024 15:00;100,84
1713963600;24.04.2024 16:00;97,44
1713967200;24.04.2024 17:00;104,75
1713970800;24.04.2024 18:00;116
1713974400;24.04.2024 19:00;128,16
1713978000;24.04.2024 20:00;135,2
1713981600;24.04.2024 21:00;143,44
1713985200;24.04.2024 22:00;125,32
1713988800;24.04.2024 23:00;105,31
1713992400;25.04.2024 00:00;90,21
1713996000;25.04.2024 01:00;83,5
1713999600;25.04.2024 02:00;80
1714003200;25.04.2024 03:00;77,37
1714006800;25.04.2024 04:00;76,05
1714010400;25.04.2024 05:00;75,24
1714014000;25.04.2024 06:00;85,87
1714017600;25.04.2024 07:00;114,8
1714021200;25.04.2024 08:00;130,98
1714024800;25.04.2024 09:00;117,76
1714028400;25.04.2024 10:00;115
1714032000;25.04.2024 11:00;114,99
1714035600;25.04.2024 12:00;88,29
1714039200;25.04.2024 13:00;77,92
1714042800;25.04.2024 14:00;75,37
1714046400;25.04.2024 15:00;66,81
1714050000;25.04.2024 16:00;69,67
1714053600;25.04.2024 17:00;76,08
1714057200;25.04.2024 18:00;87,26
1714060800;25.04.2024 19:00;112,23
1714064400;25.04.2024 20:00;143,09
1714068000;25.04.2024 21:00;152,47
1714071600;25.04.2024 22:00;115,83
1714075200;25.04.2024 23:00;91,35
1714078800;26.04.2024 00:00;79,74
1714082400;26.04.2024 01:00;79,87
1714086000;26.04.2024 02:00;74
1714089600;26.04.2024 03:00;72,91
1714093200;26.04.2024 04:00;72,29
1714096800;26.04.2024 05:00;77,1
1714100400;26.04.2024 06:00;87,46
1714104000;26.04.2024 07:00;106,01
1714107600;26.04.2024 08:00;104,06
1714111200;26.04.2024 09:00;96,06
1714114800;26.04.2024 10:00;82,29
1714118400;26.04.2024 11:00;77,81
1714122000;26.04.2024 12:00;72,95
1714125600;26.04.2024 13:00;70,35
1714129200;26.04.2024 14:00;68,74
1714132800;26.04.2024 15:00;65,37
1714136400;26.04.2024 16:00;69,92
1714140000;26.04.2024 17:00;71,7
1714143600;26.04.2024 18:00;80,51
1714147200;26.04.2024 19:00;97,86
1714150800;26.04.2024 20:00;132,84
1714154400;26.04.2024 21:00;142,56
1714158000;26.04.2024 22:00;111,36
1714161600;26.04.2024 23:00;92,63
1714165200;27.04.2024 00:00;82,29
1714168800;27.04.2024 01:00;73,06
1714172400;27.04.2024 02:00;68,98
1714176000;27.04.2024 03:00;68,03
1714179600;27.04.2024 04:00;68,53
1714183200;27.04.2024 05:00;68,66
1714186800;27.04.2024 06:00;83,62
1714190400;27.04.2024 07:00;84,01
1714194000;27.04.2024 08:00;77,15
1714197600;27.04.2024 09:00;68,5
1714201200;27.04.2024 10:00;59,07
1714204800;27.04.2024 11:00;38,21
1714208400;27.04.2024 12:00;26,09
1714212000;27.04.2024 13:00;39,51
1714215600;27.04.2024 14:00;41,41
1714219200;27.04.2024 15:00;24,5
1714222800;27.04.2024 16:00;10,06
1714226400;27.04.2024 17:00;20,93
1714230000;27.04.2024 18:00;62,36
1714233600;27.04.2024 19:00;86
1714237200;27.04.2024 20:00;120,98
1714240800;27.04.2024 21:00;119,72
1714244400;27.04.2024 22:00;85
1714248000;27.04.2024 23:00;75,9
1714251600;28.04.2024 00:00;65,23
1714255200;28.04.2024 01:00;56,39
1714258800;28.04.2024 02:00;46,14
1714262400;28.04.2024 03:00;39,6
1714266000;28.04.2024 04:00;32,32
1714269600;28.04.2024 05:00;28,49
1714273200;28.04.2024 06:00;26,69
1714276800;28.04.2024 07:00;9,95
1714280400;28.04.2024 08:00;0,25
1714284000;28.04.2024 09:00;0,26
1714287600;28.04.2024 10:00;0,22
1714291200;28.04.2024 11:00;0,24
1714294800;28.04.2024 12:00;0,22
1714298400;28.04.2024 13:00;0,21
1714302000;28.04.2024 14:00;0,21
1714305600;28.04.2024 15:00;0,23
1714309200;28.04.2024 16:00;0,23
1714312800;28.04.2024 17:00;0,28
1714316400;28.04.2024 18:00;20,06
1714320000;28.04.2024 19:00;35,44
1714323600;28.04.2024 20:00;70,19
1714327200;28.04.2024 21:00;81,05
1714330800;28.04.2024 22:00;76,67
1714334400;28.04.2024 23:00;62,76
1714338000;29.04.2024 00:00;46,7
1714341600;29.04.2024 01:00;41,1
1714345200;29.04.2024 02:00;39,44
1714348800;29.04.2024 03:00;38,04
1714352400;29.04.2024 04:00;37,44
1714356000;29.04.2024 05:00;38,05
1714359600;29.04.2024 06:00;82,13
1714363200;29.04.2024 07:00;92,71
1714366800;29.04.2024 08:00;112,44
1714370400;29.04.2024 09:00;96,95
1714374000;29.04.2024 10:00;65,01
1714377600;29.04.2024 11:00;51,87
1714381200;29.04.2024 12:00;34,32
1714384800;29.04.2024 13:00;31,39
1714388400;29.04.2024 14:00;25,32
1714392000;29.04.2024 15:00;25,17
1714395600;29.04.2024 16:00;32,65
1714399200;29.04.2024 17:00;47,68
1714402800;29.04.2024 18:00;85,74
1714406400;29.04.2024 19:00;104,73
1714410000;29.04.2024 20:00;179,44
1714413600;29.04.2024 21:00;204,57
1714417200;29.04.2024 22:00;108,55
