Ajatempel (UTC);Kuupäev (Eesti aeg);NPS Eesti
1721289600;18.07.2024 11:00;60,78
1721293200;18.07.2024 12:00;48,44
1721296800;18.07.2024 13:00;41,42
1721300400;18.07.2024 14:00;40,3
1721304000;18.07.2024 15:00;39,71
1721307600;18.07.2024 16:00;43,38
1721311200;18.07.2024 17:00;44,69
1721314800;18.07.2024 18:00;82,93
1721318400;18.07.2024 19:00;100,08
1721322000;18.07.2024 20:00;100,09
1721325600;18.07.2024 21:00;155,47
1721329200;18.07.2024 22:00;142,9
1721332800;18.07.2024 23:00;112,9
1721336400;19.07.2024 00:00;84
1721340000;19.07.2024 01:00;121,01
1721343600;19.07.2024 02:00;95,56
1721347200;19.07.2024 03:00;92,75
1721350800;19.07.2024 04:00;94,42
1721354400;19.07.2024 05:00;90,3
1721358000;19.07.2024 06:00;94,22
1721361600;19.07.2024 07:00;114,89
1721365200;19.07.2024 08:00;110,42
1721368800;19.07.2024 09:00;114,39
1721372400;19.07.2024 10:00;81,43
1721376000;19.07.2024 11:00;71,58
1721379600;19.07.2024 12:00;62,36
1721383200;19.07.2024 13:00;51,86
1721386800;19.07.2024 14:00;52,71
1721390400;19.07.2024 15:00;51,97
1721394000;19.07.2024 16:00;54,49
1721397600;19.07.2024 17:00;72,77
1721401200;19.07.2024 18:00;90,04
1721404800;19.07.2024 19:00;148,27
1721408400;19.07.2024 20:00;180,03
1721412000;19.07.2024 21:00;182,08
1721415600;19.07.2024 22:00;180,05
1721419200;19.07.2024 23:00;123,11
1721422800;20.07.2024 00:00;101,28
1721426400;20.07.2024 01:00;103,4
1721430000;20.07.2024 02:00;102
1721433600;20.07.2024 03:00;94,59
1721437200;20.07.2024 04:00;95,54
1721440800;20.07.2024 05:00;98,06
1721444400;20.07.2024 06:00;95,78
1721448000;20.07.2024 07:00;92,85
1721451600;20.07.2024 08:00;86,69
1721455200;20.07.2024 09:00;68,2
1721458800;20.07.2024 10:00;49,72
1721462400;20.07.2024 11:00;15,9
1721466000;20.07.2024 12:00;10,91
1721469600;20.07.2024 13:00;15,76
1721473200;20.07.2024 14:00;23,24
1721476800;20.07.2024 15:00;24,67
1721480400;20.07.2024 16:00;31,67
1721484000;20.07.2024 17:00;38,67
1721487600;20.07.2024 18:00;71,44
1721491200;20.07.2024 19:00;120,01
1721494800;20.07.2024 20:00;181,66
1721498400;20.07.2024 21:00;236,8
1721502000;20.07.2024 22:00;180,02
1721505600;20.07.2024 23:00;114,79
1721509200;21.07.2024 00:00;91,22
1721512800;21.07.2024 01:00;120,06
1721516400;21.07.2024 02:00;120,03
1721520000;21.07.2024 03:00;130,96
1721523600;21.07.2024 04:00;109,79
1721527200;21.07.2024 05:00;87,31
1721530800;21.07.2024 06:00;86,07
1721534400;21.07.2024 07:00;83,68
1721538000;21.07.2024 08:00;64,24
1721541600;21.07.2024 09:00;48,38
1721545200;21.07.2024 10:00;18,57
1721548800;21.07.2024 11:00;103
1721552400;21.07.2024 12:00;50
1721556000;21.07.2024 13:00;5
1721559600;21.07.2024 14:00;1,65
1721563200;21.07.2024 15:00;2,99
1721566800;21.07.2024 16:00;3,91
1721570400;21.07.2024 17:00;68,28
1721574000;21.07.2024 18:00;180
1721577600;21.07.2024 19:00;180,09
1721581200;21.07.2024 20:00;180,08
1721584800;21.07.2024 21:00;180,1
1721588400;21.07.2024 22:00;180,07
1721592000;21.07.2024 23:00;180,04
1721595600;22.07.2024 00:00;160,01
1721599200;22.07.2024 01:00;122,63
1721602800;22.07.2024 02:00;100,42
1721606400;22.07.2024 03:00;91,46
1721610000;22.07.2024 04:00;91,49
1721613600;22.07.2024 05:00;91,11
1721617200;22.07.2024 06:00;88,92
1721620800;22.07.2024 07:00;129,31
1721624400;22.07.2024 08:00;130,85
1721628000;22.07.2024 09:00;121,69
1721631600;22.07.2024 10:00;97,41
1721635200;22.07.2024 11:00;78,55
1721638800;22.07.2024 12:00;77,28
1721642400;22.07.2024 13:00;71,14
1721646000;22.07.2024 14:00;89,8
1721649600;22.07.2024 15:00;99,57
1721653200;22.07.2024 16:00;107,67
1721656800;22.07.2024 17:00;94,87
1721660400;22.07.2024 18:00;131,98
1721664000;22.07.2024 19:00;156,45
1721667600;22.07.2024 20:00;160,05
1721671200;22.07.2024 21:00;160,04
1721674800;22.07.2024 22:00;140,26
1721678400;22.07.2024 23:00;111,1
1721682000;23.07.2024 00:00;91,56
1721685600;23.07.2024 01:00;96,09
1721689200;23.07.2024 02:00;86,11
1721692800;23.07.2024 03:00;70,4
1721696400;23.07.2024 04:00;64,66
1721700000;23.07.2024 05:00;67,4
1721703600;23.07.2024 06:00;72,83
1721707200;23.07.2024 07:00;120,01
1721710800;23.07.2024 08:00;126,61
1721714400;23.07.2024 09:00;116,95
1721718000;23.07.2024 10:00;88,49
1721721600;23.07.2024 11:00;72
1721725200;23.07.2024 12:00;65,38
1721728800;23.07.2024 13:00;51,04
1721732400;23.07.2024 14:00;50,33
1721736000;23.07.2024 15:00;50,3
1721739600;23.07.2024 16:00;76,74
1721743200;23.07.2024 17:00;83,28
1721746800;23.07.2024 18:00;120,26
1721750400;23.07.2024 19:00;186,87
1721754000;23.07.2024 20:00;245,57
1721757600;23.07.2024 21:00;300,08
1721761200;23.07.2024 22:00;233,08
1721764800;23.07.2024 23:00;149,45
1721768400;24.07.2024 00:00;96,91
1721772000;24.07.2024 01:00;90,21
1721775600;24.07.2024 02:00;82,72
1721779200;24.07.2024 03:00;82,58
1721782800;24.07.2024 04:00;82,76
1721786400;24.07.2024 05:00;81,08
1721790000;24.07.2024 06:00;91,23
1721793600;24.07.2024 07:00;126,08
1721797200;24.07.2024 08:00;148,49
1721800800;24.07.2024 09:00;119,94
1721804400;24.07.2024 10:00;110,68
1721808000;24.07.2024 11:00;95,65
1721811600;24.07.2024 12:00;48,71
1721815200;24.07.2024 13:00;60,41
1721818800;24.07.2024 14:00;23,87
1721822400;24.07.2024 15:00;79,55
1721826000;24.07.2024 16:00;103,05
1721829600;24.07.2024 17:00;107,3
1721833200;24.07.2024 18:00;113,38
1721836800;24.07.2024 19:00;141,17
1721840400;24.07.2024 20:00;153,09
1721844000;24.07.2024 21:00;160,04
1721847600;24.07.2024 22:00;137,06
1721851200;24.07.2024 23:00;131,81
1721854800;25.07.2024 00:00;91,37
1721858400;25.07.2024 01:00;134,42
1721862000;25.07.2024 02:00;107,26
