Ajatempel (UTC);Kuupäev (Eesti aeg);NPS Eesti
1705348800;15.01.2024 22:00;92,95
1705352400;15.01.2024 23:00;89,49
1705356000;16.01.2024 00:00;86,43
1705359600;16.01.2024 01:00;82,19
1705363200;16.01.2024 02:00;81,4
1705366800;16.01.2024 03:00;80,07
1705370400;16.01.2024 04:00;78,26
1705374000;16.01.2024 05:00;77,59
1705377600;16.01.2024 06:00;83,45
1705381200;16.01.2024 07:00;123
1705384800;16.01.2024 08:00;193,42
1705388400;16.01.2024 09:00;275,59
1705392000;16.01.2024 10:00;270,56
1705395600;16.01.2024 11:00;249,93
1705399200;16.01.2024 12:00;200,55
1705402800;16.01.2024 13:00;170,04
1705406400;16.01.2024 14:00;141,97
1705410000;16.01.2024 15:00;143,58
1705413600;16.01.2024 16:00;156,16
1705417200;16.01.2024 17:00;170,08
1705420800;16.01.2024 18:00;170,81
1705424400;16.01.2024 19:00;164,52
1705428000;16.01.2024 20:00;145,42
1705431600;16.01.2024 21:00;151,51
1705435200;16.01.2024 22:00;131,44
1705438800;16.01.2024 23:00;121,14
1705442400;17.01.2024 00:00;102,43
1705446000;17.01.2024 01:00;95,63
1705449600;17.01.2024 02:00;84,26
1705453200;17.01.2024 03:00;82,1
1705456800;17.01.2024 04:00;82,09
1705460400;17.01.2024 05:00;90,06
1705464000;17.01.2024 06:00;134,58
1705467600;17.01.2024 07:00;150
1705471200;17.01.2024 08:00;147,72
1705474800;17.01.2024 09:00;122,02
1705478400;17.01.2024 10:00;105,59
1705482000;17.01.2024 11:00;110,33
1705485600;17.01.2024 12:00;111,1
1705489200;17.01.2024 13:00;116,49
1705492800;17.01.2024 14:00;119,9
1705496400;17.01.2024 15:00;117,97
1705500000;17.01.2024 16:00;121,82
1705503600;17.01.2024 17:00;125,24
1705507200;17.01.2024 18:00;136,44
1705510800;17.01.2024 19:00;120,62
1705514400;17.01.2024 20:00;110,96
1705518000;17.01.2024 21:00;106,61
1705521600;17.01.2024 22:00;97,51
1705525200;17.01.2024 23:00;91,36
1705528800;18.01.2024 00:00;68
1705532400;18.01.2024 01:00;47,97
1705536000;18.01.2024 02:00;49,26
1705539600;18.01.2024 03:00;46,55
1705543200;18.01.2024 04:00;44,95
1705546800;18.01.2024 05:00;46,72
1705550400;18.01.2024 06:00;78,8
1705554000;18.01.2024 07:00;78,8
1705557600;18.01.2024 08:00;119
1705561200;18.01.2024 09:00;125,89
1705564800;18.01.2024 10:00;122,17
1705568400;18.01.2024 11:00;125,02
1705572000;18.01.2024 12:00;125,01
1705575600;18.01.2024 13:00;125
1705579200;18.01.2024 14:00;125,01
1705582800;18.01.2024 15:00;125,02
1705586400;18.01.2024 16:00;119,02
1705590000;18.01.2024 17:00;119
1705593600;18.01.2024 18:00;104,68
1705597200;18.01.2024 19:00;103,26
1705600800;18.01.2024 20:00;94,53
1705604400;18.01.2024 21:00;86,97
1705608000;18.01.2024 22:00;81,13
1705611600;18.01.2024 23:00;77,43
1705615200;19.01.2024 00:00;71,33
1705618800;19.01.2024 01:00;68,4
1705622400;19.01.2024 02:00;65,34
1705626000;19.01.2024 03:00;64,05
1705629600;19.01.2024 04:00;62,76
1705633200;19.01.2024 05:00;63,32
1705636800;19.01.2024 06:00;65,85
1705640400;19.01.2024 07:00;75,74
1705644000;19.01.2024 08:00;99,89
1705647600;19.01.2024 09:00;104,27
1705651200;19.01.2024 10:00;103,3
1705654800;19.01.2024 11:00;95,85
1705658400;19.01.2024 12:00;86,56
1705662000;19.01.2024 13:00;78,72
1705665600;19.01.2024 14:00;75,15
1705669200;19.01.2024 15:00;76,91
1705672800;19.01.2024 16:00;90,58
1705676400;19.01.2024 17:00;104,6
1705680000;19.01.2024 18:00;114,77
1705683600;19.01.2024 19:00;108,49
1705687200;19.01.2024 20:00;106,05
1705690800;19.01.2024 21:00;91,77
1705694400;19.01.2024 22:00;79,98
1705698000;19.01.2024 23:00;74,97
1705701600;20.01.2024 00:00;66,69
1705705200;20.01.2024 01:00;67,62
1705708800;20.01.2024 02:00;65,01
1705712400;20.01.2024 03:00;65,1
1705716000;20.01.2024 04:00;63,34
1705719600;20.01.2024 05:00;63,37
1705723200;20.01.2024 06:00;68,91
1705726800;20.01.2024 07:00;74,29
1705730400;20.01.2024 08:00;83,49
1705734000;20.01.2024 09:00;95,87
1705737600;20.01.2024 10:00;99,71
1705741200;20.01.2024 11:00;99,86
1705744800;20.01.2024 12:00;95,87
1705748400;20.01.2024 13:00;95,88
1705752000;20.01.2024 14:00;95,81
1705755600;20.01.2024 15:00;91
1705759200;20.01.2024 16:00;95,88
1705762800;20.01.2024 17:00;102,01
1705766400;20.01.2024 18:00;97,4
1705770000;20.01.2024 19:00;101,11
1705773600;20.01.2024 20:00;95
1705777200;20.01.2024 21:00;95,97
1705780800;20.01.2024 22:00;77,2
1705784400;20.01.2024 23:00;75,11
1705788000;21.01.2024 00:00;69,13
1705791600;21.01.2024 01:00;71,73
1705795200;21.01.2024 02:00;58,3
1705798800;21.01.2024 03:00;55,15
1705802400;21.01.2024 04:00;50,89
1705806000;21.01.2024 05:00;59,33
1705809600;21.01.2024 06:00;76,09
1705813200;21.01.2024 07:00;78,44
1705816800;21.01.2024 08:00;64,13
1705820400;21.01.2024 09:00;65,21
1705824000;21.01.2024 10:00;56,8
1705827600;21.01.2024 11:00;50,45
1705831200;21.01.2024 12:00;50,78
1705834800;21.01.2024 13:00;43,99
1705838400;21.01.2024 14:00;42,52
1705842000;21.01.2024 15:00;53,4
1705845600;21.01.2024 16:00;73
1705849200;21.01.2024 17:00;77,59
1705852800;21.01.2024 18:00;74,36
1705856400;21.01.2024 19:00;78,13
1705860000;21.01.2024 20:00;74,79
1705863600;21.01.2024 21:00;61,15
1705867200;21.01.2024 22:00;45,04
1705870800;21.01.2024 23:00;40,01
1705874400;22.01.2024 00:00;29,03
1705878000;22.01.2024 01:00;33,02
1705881600;22.01.2024 02:00;32,56
1705885200;22.01.2024 03:00;32,1
1705888800;22.01.2024 04:00;32,05
1705892400;22.01.2024 05:00;33,06
1705896000;22.01.2024 06:00;49,16
1705899600;22.01.2024 07:00;78,43
1705903200;22.01.2024 08:00;80,52
1705906800;22.01.2024 09:00;82,52
1705910400;22.01.2024 10:00;82,64
1705914000;22.01.2024 11:00;82,44
1705917600;22.01.2024 12:00;77,18
1705921200;22.01.2024 13:00;79,75
1705924800;22.01.2024 14:00;81,51
1705928400;22.01.2024 15:00;81,94
1705932000;22.01.2024 16:00;83,68
1705935600;22.01.2024 17:00;87,53
1705939200;22.01.2024 18:00;85,91
1705942800;22.01.2024 19:00;86,54
1705946400;22.01.2024 20:00;77,6
1705950000;22.01.2024 21:00;79,4
1705953600;22.01.2024 22:00;28,84
1705957200;22.01.2024 23:00;26,07
1705960800;23.01.2024 00:00;23,03
1705964400;23.01.2024 01:00;15,84
1705968000;23.01.2024 02:00;9,86
1705971600;23.01.2024 03:00;9,14
1705975200;23.01.2024 04:00;4,17
1705978800;23.01.2024 05:00;10,22
1705982400;23.01.2024 06:00;21,63
1705986000;23.01.2024 07:00;59,07
1705989600;23.01.2024 08:00;74,01
1705993200;23.01.2024 09:00;84,93
1705996800;23.01.2024 10:00;81,65
1706000400;23.01.2024 11:00;74,03
1706004000;23.01.2024 12:00;69,35
1706007600;23.01.2024 13:00;61,06
1706011200;23.01.2024 14:00;64,84
1706014800;23.01.2024 15:00;59,1
